name,location,code
금단산,충청북도 괴산군 청천면 ,437600201
금당산,광주광역시 남구 효덕동 ,291550301
금당산,강원도 평창군 용평면 ,427600501
금당산숲길,광주광역시 남구  ,291551504
금대산,경상남도 함양군 마천면 ,488700401
금덩산,경기도 화성시 봉담읍 ,415903801
금동산,경상남도 김해시 상동면 ,482500501
금련산,부산광역시 수영구 광안4동 ,265000101
금무산,경상북도 칠곡군 왜관읍 ,478500501
금물산,강원도 횡성군 서원면 ,427300401
금박산,경기도 용인시처인구 양지면 ,414603801
금박산,경상북도 경산시 진량면 ,472900201
금병산,대전광역시 유성구 구즉동 ,302000301
금병산,강원도 춘천시 동내면 ,421100801
금병산,경상남도 김해시 진영읍 ,482500601
금봉산,경상북도 의성군 옥산면 ,477303201
금북정맥,충청남도 천안시  ,441300103
금산,대구광역시 달성군 유가면 ,277103701
금산,전라북도 순창군 순창읍 ,457700501
금산,전라남도 담양군 무정면 ,467100501
금산,경상남도 의령군 지정면 ,487200104
금성산,충청남도 부여군 부여읍 ,447600501
금성산,전라북도 전주시  ,451103601
금성산,전라북도 군산시  ,451304701
금성산,전라남도 나주시 노안면 ,461700501
금성산,전라남도 담양군  ,467102401
금성산,전라남도 고흥군 풍양면 ,467700201
금성산,경상북도 경산시  ,472901401
금성산,경상북도 의성군 금성면 ,477300601
금성산,경상남도 합천군 대병면 ,488900701
금수산,충청북도 단양군  ,438002601
금오름,제주도 제주시  ,491101804
금오산,충청남도 예산군 예산읍 ,448100101
금오산,전라남도 여수시 돌산읍 ,461300501
금오산,경상북도 구미시 선주원남동 ,471900101
금오산,경상남도 밀양시 삼랑진읍 ,482700701
금오산,경상남도 하동군  ,488500301
금원산,경상남도 거창군 위천면 ,488805801
금음산,경상남도 김해시 한림면 ,482504901
금이광이,경상북도 청송군 청송읍 ,477502804
금장산,경상북도 영양군 수비면 ,477600301
금적산,충청북도 보은군 삼승면 ,437200701
금전산,전라남도 순천시 낙안면 ,461503801
금정산,부산광역시 금정구  ,264100101
금정산,인천광역시 서구  ,282601001
금주산,경상남도 마산시 구산면 ,481500401
금채산,경상남도 의령군 용덕면 ,487204301
금학산,강원도 홍천군 남면 ,427200801
금학산,강원도 철원군 동송읍 ,427800401
금학산,경상북도 안동시 길안면 ,471700701
금학산둘레길,강원도 홍천군  ,427200103
금호남정맥,전라북도 진안군  ,457200104
기대봉,충청남도 공주시  ,441505301
기룡산,경상북도 안동시 남선면 ,471700801
기룡산,경상북도 영천시 자양면 ,472300401
기린공원,전라북도 전주시  ,451103004
기린봉,전라북도 전주시  ,451100801
기마봉,강원도 강릉시 강동면 ,421500701
기백산,경상남도 거창군  ,488807501
기산봉,전라남도 함평군  ,468601501
기선봉,경상남도 거창군  ,488805701
기양산,경상북도 구미시 무을면 ,471904101
기양산,경상북도 상주시 청리면 ,472500501
기역산,전라남도 장흥군 유치면 ,468000601
기우산,강원도 정선군 정선읍 ,427701401
길상산,인천광역시 강화군  ,287100301
김개남장군묘,전라북도 정읍시  ,451803804
김대중모실길,전라남도 신안군  ,469100103
깃대봉,광주광역시 동구 학운동 ,291100401
깃대봉,충청남도 공주시  ,441505401
깃대봉,전라북도 진안군  ,457200401
깃대봉,전라남도 순천시 서면 ,461500401
깃대봉,전라남도 신안군 흑산면 ,469100501
까끄레기,제주도 제주시  ,491103504
까치산,대구광역시 달성군  ,277100401
까치산,경상북도 김천시  ,471500701
까치산,경상남도 김해시 대동면 ,482500801
까치절산,전라남도 구례군 광의면 ,467300501
꼬추봉,강원도 삼척시  ,422309101
꼭지산,전라북도 진안군  ,457203001
꽃봉,대전광역시 동구 대청동 ,301100601
꽃봉산,경상남도 산청군 산청읍 ,488601301
꽃산,대전광역시 대덕구 회덕2동 ,302300201
꾀꼬리봉,충청남도 연기군 금남면 ,447300501
나각산,경상북도 상주시 낙동면 ,472500601
나래산,전라북도 임실군 운암면 ,457502601
나산,강원도 홍천군 서면 ,427201001
나시리오름,제주도 서귀포시  ,491301404
나티미기산,경상북도 칠곡군  ,478500801
나팔봉,강원도 정선군 정선읍 ,427709801
낙가산,인천광역시 강화군  ,287101601
낙가산,충청북도 청주시상당구  ,431100701
낙동정맥,경상북도 영양군  ,477600103
낙천리,강원도 정선군 임계면 ,427709904
낙화산,경상남도 밀양시 상동면 ,482700801
낙화암,경상북도 칠곡군 지천면 ,478503804
남덕유산,전라북도 무주군  ,457300301
남망산,전라남도 진도군 의신면 ,469000401
남병산,전라북도 군산시  ,451304801
남북종주,경상북도 청도군  ,478200104
남산,인천광역시 강화군  ,287100401
남산,울산광역시 남구 신정동 ,311400701
